step,loss,dom,bl,bc,w_dom,w_bl,w_bc,elapsed_seconds,current_steps_per_second,average_steps_per_second,projected_total_seconds,remaining_seconds
13000.0,0.680652916431427,0.11981502920389175,0.2606123983860016,0.9525127410888672,1.9973706007003784,0.779739260673523,0.25,775.3665699169505,17.162150317381712,16.76626321585212,29821.791150651945,29046.424580734994
14000.0,1.1419458389282227,0.1954580843448639,0.42209309339523315,1.7749385833740234,2.1528682708740234,0.5783782005310059,0.2687534689903259,833.5729197500041,17.18025615535389,16.79517132610153,29770.461419643,28936.888499892997
15000.0,0.9578083753585815,0.1458785980939865,0.45361462235450745,0.7122859358787537,2.0094780921936035,0.25,0.7739376425743103,894.022296500043,16.542767746556724,16.778105041364903,29800.743216668103,28906.72092016806
16000.0,0.6205008625984192,0.20942585170269012,0.26155516505241394,0.112702377140522,2.20987606048584,0.46117284893989563,0.3289509415626526,954.0788374169497,16.650975642829398,16.770102608415485,29814.963669279674,28860.884831862724
17000.0,0.8403360843658447,0.1213860735297203,0.2715473771095276,1.051771640777588,2.2194578647613525,0.32045552134513855,0.46008649468421936,1018.3374470419949,15.562116980667499,16.693876916124978,29951.101383588084,28932.76393654609
18000.0,0.563821017742157,0.1446647346019745,0.39275574684143066,0.25403618812561035,2.1542859077453613,0.2691025733947754,0.5766116976737976,1076.4447975419462,17.209526701804077,16.721712103679508,29901.244376165174,28824.799578623228
19000.0,0.45450007915496826,0.1090039312839508,0.10300812125205994,0.42144960165023804,2.201037883758545,0.3835681974887848,0.4153940975666046,1134.3970811669715,17.255575405283494,16.748985267534724,29852.554767551883,28718.15768638491
20000.0,0.7261251211166382,0.2025453746318817,0.2790983021259308,0.2168060839176178,1.5941085815429688,1.2506139278411865,0.25,1193.1103355840314,17.031929330584617,16.76290901478943,29827.758389600785,28634.648054016754
21000.0,0.8793147206306458,0.09946350753307343,0.29997602105140686,0.5070450305938721,1.5723483562469482,0.25,1.2778538465499878,1251.2961673339596,17.186314433001712,16.782597556214917,29792.765888903796,28541.469721569836
22000.0,0.35323789715766907,0.09512215107679367,0.3360348343849182,0.0758339911699295,2.220259428024292,0.3186430335044861,0.46109774708747864,1309.545214709011,17.16766273551644,16.799725395421753,29762.39124338661,28452.8460286776
23000.0,0.74424147605896,0.2749929428100586,0.423532098531723,0.10653995722532272,2.0198628902435303,0.26615697145462036,0.7139802575111389,1367.626858875039,17.217143460014146,16.817452692409812,29731.0186711965,28363.39181232146
24000.0,0.3433718979358673,0.11807598173618317,0.18654844164848328,0.07598792016506195,2.083634376525879,0.25,0.667311429977417,1426.01221716695,17.127581798852226,16.830150338880447,29708.58785764479,28282.57564047784
25000.0,0.5343915820121765,0.24476858973503113,0.20602406561374664,0.06373007595539093,1.4115582704544067,0.6160128712654114,0.9724288582801819,1484.1040008750279,17.214138319890264,16.845180651261636,29682.080017500557,28197.97601662553
26000.0,1.0508701801300049,0.17834511399269104,0.6977370381355286,0.6232078671455383,1.9400384426116943,0.25,0.8511438965797424,1541.7918417919427,17.33467545509727,16.863495638802693,29649.843111383518,28108.051269591575
27000.0,0.40272194147109985,0.08515423536300659,0.20469267666339874,0.24093689024448395,2.0106608867645264,0.25,0.74846351146698,1599.4499619170092,17.343610888299782,16.880803177887067,29619.443739203878,28019.99377728687
28000.0,0.5360346436500549,0.24029876291751862,0.18058453500270844,0.0641971230506897,1.5244617462158203,0.6442540884017944,0.8312839865684509,1657.787169874995,17.141718553280704,16.88998473918177,29603.342319196337,27945.555149321342
