id,t_start,t_end,t_mid,clean_charge_start,clean_charge_end,clean_current,observed_current,sigma,side
44,0.1125,0.115,0.11375,-1.1226467399798579,-1.1238120225541348,-0.46611302971077923,-0.43588229343226426,0.041886788684049492,left
45,0.115,0.11750000000000001,0.11625000000000001,-1.1238120225541348,-1.1249400150000262,-0.45119697835653799,-0.43976000505787505,0.041886788684049492,left
46,0.11750000000000001,0.12,0.11874999999999999,-1.1249400150000262,-1.1260319247628916,-0.43676390514617786,-0.46912781804784298,0.041886788684049492,left
47,0.12,0.1225,0.12125,-1.1260319247628916,-1.1270889171846121,-0.4227969686882101,-0.43995730508950653,0.041886788684049492,left
48,0.1225,0.125,0.12375,-1.1270889171846121,-1.1281120835167224,-0.40926653284412101,-0.38986925723194427,0.041886788684049492,left
49,0.125,0.1275,0.12625,-1.1281120835167224,-1.1291024930475706,-0.39616381233926712,-0.40832081401278164,0.041886788684049492,left
50,0.1275,0.13,0.12875,-1.1291024930475706,-1.1300612433855004,-0.38350013517192105,-0.36032230517719632,0.041886788684049492,left
51,0.13,0.13250000000000001,0.13125000000000001,-1.1300612433855004,-1.1309893141142524,-0.37122829150080217,-0.4070786966522324,0.041886788684049492,left
52,0.13250000000000001,0.13500000000000001,0.13375000000000001,-1.1309893141142524,-1.1318876737858417,-0.35934386863569723,-0.37323032697873204,0.041886788684049492,left
53,0.13500000000000001,0.13750000000000001,0.13625000000000001,-1.1318876737858417,-1.132757292322834,-0.34784741479691983,-0.41172493478717676,0.041886788684049492,left
54,0.13750000000000001,0.14000000000000001,0.13875000000000001,-1.132757292322834,-1.1335990995916336,-0.3367229075198705,-0.34476869841024593,0.041886788684049492,left
55,0.14000000000000001,0.14250000000000002,0.14125000000000001,-1.1335990995916336,-1.1344139649285714,-0.32594613477510109,-0.34916157253853447,0.041886788684049492,left
56,0.14250000000000002,0.14499999999999999,0.14374999999999999,-1.1344139649285714,-1.1352027438575554,-0.31551157159359955,-0.41159161808475159,0.041886788684049492,left
57,0.14499999999999999,0.14749999999999999,0.14624999999999999,-1.1352027438575554,-1.1359663063747454,-0.3054250068760031,-0.26086645732102576,0.041886788684049492,left
58,0.14749999999999999,0.14999999999999999,0.14874999999999999,-1.1359663063747454,-1.1367054364528537,-0.29565203124333167,-0.26695830795493208,0.041886788684049492,left
59,0.14999999999999999,0.1525,0.15125,-1.1367054364528537,-1.137420906955048,-0.28618820087773472,-0.30185712495752837,0.041886788684049492,left
60,0.1525,0.155,0.15375,-1.137420906955048,-1.1381135022695976,-0.27703812581982823,-0.26265272951547652,0.041886788684049492,left
61,0.155,0.1575,0.15625,-1.1381135022695976,-1.1387839571887393,-0.26818196765665525,-0.27973517089605504,0.041886788684049492,left
62,0.1575,0.16,0.15875,-1.1387839571887393,-1.1394329598564676,-0.25960106709135267,-0.24606901395627426,0.041886788684049492,left
63,0.16,0.16250000000000001,0.16125,-1.1394329598564676,-1.1400611835964349,-0.25128949598691697,-0.28598915969715255,0.041886788684049492,left
64,0.16250000000000001,0.16500000000000001,0.16375000000000001,-1.1400611835964349,-1.1406693038389852,-0.24324809702012096,-0.26819398665376426,0.041886788684049492,left
65,0.16500000000000001,0.16750000000000001,0.16625000000000001,-1.1406693038389852,-1.1412580020103755,-0.23547926855611556,-0.29267521250029438,0.041886788684049492,left
66,0.16750000000000001,0.17000000000000001,0.16875000000000001,-1.1412580020103755,-1.1418278629839937,-0.22794438944728748,-0.24207035061246937,0.041886788684049492,left
67,0.17000000000000001,0.17250000000000001,0.17125000000000001,-1.1418278629839937,-1.1423794767786046,-0.22064551784435318,-0.25374356115299812,0.041886788684049492,left
68,0.17250000000000001,0.17500000000000002,0.17375000000000002,-1.1423794767786046,-1.142913416547735,-0.21357590765216353,-0.23296928861092508,0.041886788684049492,left
69,0.17500000000000002,0.17749999999999999,0.17625000000000002,-1.142913416547735,-1.1434303156925449,-0.20675965792396267,-0.19751467949027177,0.041886788684049492,left
70,0.17749999999999999,0.17999999999999999,0.17874999999999999,-1.1434303156925449,-1.1439306756278533,-0.20014397412335666,-0.23533502967743908,0.041886788684049492,left
71,0.17999999999999999,0.1825,0.18124999999999999,-1.1439306756278533,-1.1444150163765994,-0.1937362994984147,-0.16301940687460892,0.041886788684049492,left
72,0.1825,0.185,0.18375,-1.1444150163765994,-1.1448838370270189,-0.18752826016781282,-0.12127659047341648,0.041886788684049492,left
73,0.185,0.1875,0.18625,-1.1448838370270189,-1.1453376802164501,-0.18153727577248074,-0.17311770296201015,0.041886788684049492,left
74,0.1875,0.19,0.18875,-1.1453376802164501,-1.1457770130785896,-0.175733144855794,-0.1100576479606417,0.041886788684049492,left
75,0.19,0.1925,0.19125,-1.1457770130785896,-1.146202284714035,-0.170108654178147,-0.18454608801859987,0.041886788684049492,left
76,0.1925,0.19500000000000001,0.19375000000000001,-1.146202284714035,-1.1466139356695855,-0.16466038222020515,-0.14689968154986385,0.041886788684049492,left
77,0.19500000000000001,0.19750000000000001,0.19625000000000001,-1.1466139356695855,-1.1470123991511332,-0.15938539261908233,-0.24389060340526222,0.041886788684049492,left
78,0.19750000000000001,0.20000000000000001,0.19875000000000001,-1.1470123991511332,-1.1473981175114338,-0.15428734412026288,-0.16963760284497098,0.041886788684049492,left
