Dp,Dn,log_likelihood,posterior_mass,sum_squared_standardized_error
0.6875,1.3624999999999998,-168.74275774470948,8.6902311635837651e-138,693.59322685072743
0.6875,1.3999999999999999,-129.2172087815257,1.2727969850914923e-120,614.54212892435987
0.6875,1.4375,-93.765666071280236,3.170797535246859e-105,543.63904350386895
0.6875,1.4750000000000001,-62.253056035122654,1.5378754390554236e-91,480.61382343155378
0.6875,1.5125,-34.565967366777045,1.6265633767968568e-79,425.23964609486256
0.6875,1.55,-10.565968781808778,4.308617497155459e-69,377.23964892492603
0.6875,1.5874999999999999,9.8885680243769514,3.2932932618961892e-60,336.33057531255457
0.6875,1.625,26.835188390666843,7.5414371771731224e-53,302.43733457997479
0.6875,1.6624999999999999,40.435144068836792,6.0791074919430862e-47,275.23742322363489
0.6875,1.7,50.746921529926766,1.8288912103383545e-42,254.61386830145494
0.6875,1.7375,57.838262053016138,2.1974445814282414e-39,240.4311872552762
0.6875,1.7749999999999999,61.778592764216256,1.1302689989398269e-37,232.55052583287596
0.6875,1.8125,62.564499217175467,2.4802568156490705e-37,230.97871292695754
0.6875,1.8499999999999999,60.230858692328582,2.404415112848322e-38,235.64599397665131
0.6875,1.8875,54.764391237802386,1.0161382463295744e-40,246.5789288857037
0.6875,1.925,46.120242756198081,1.7899743667408395e-44,263.86722584891231
0.6875,1.9624999999999999,34.254919949323323,1.2583532951332241e-49,287.59787146266183
0.6875,2,19.081287983321459,3.2357723338873237e-56,317.94513539466556
0.72499999999999998,0.5,-2435.7047560438173,0,5227.5172234489428
0.72499999999999998,0.53749999999999998,-2244.6043046422137,0,4845.3163206457357
0.72499999999999998,0.57499999999999996,-2066.7573318778036,0,4489.6223751169155
0.72499999999999998,0.61250000000000004,-1900.9226641194791,0,4157.9530396002665
0.72499999999999998,0.65000000000000002,-1746.0005355683675,0,3848.1087824980436
0.72499999999999998,0.6875,-1600.9822915052141,0,3558.0722943717369
0.72499999999999998,0.72499999999999998,-1465.040639892834,0,3286.1889911469766
0.72499999999999998,0.76249999999999996,-1337.3805633259367,0,3030.8688380131821
0.72499999999999998,0.80000000000000004,-1217.4598779769362,0,2791.0274673151807
0.72499999999999998,0.83749999999999991,-1104.6881556616031,0,2565.4840226845145
0.72499999999999998,0.875,-998.62104335113338,0,2353.3497980635752
0.72499999999999998,0.91249999999999998,-898.86249865557204,0,2153.8327086724526
